id,total_ms,cpu_encode_ms,gpu_ms,depth_key_ms,sort_ms,draw_ms,estimated_memory_bytes,estimated_bandwidth_gbps,visible_splats,total_splats,sort_mode
1,1743.251085281372,1743.251085281372,7.465958362445235,0.0,1733.9730262756348,0.44405460357666016,45600000,6.107722248944499,100000,393216,cpu
2,1471.4770317077637,1471.4770317077637,6.0581250581890345,0.0,1457.522988319397,0.09691715240478516,45600000,7.527081326649154,100000,393216,cpu
3,1594.667911529541,1594.667911529541,6.829291814938188,0.0,1579.2289972305298,0.10395050048828125,45600000,6.677119858937047,100000,393216,cpu
4,1507.058024406433,1507.058024406433,6.264083320274949,0.0,1490.548014640808,0.0749826431274414,45600000,7.279596657408203,100000,393216,cpu
5,2172.9090213775635,2172.9090213775635,5.377958295866847,0.0,2157.8680276870728,0.13303756713867188,45600000,8.479054223058075,100000,393216,cpu
6,2071.6949701309204,2071.6949701309204,5.488875089213252,0.0,2055.556893348694,0.10597705841064453,45600000,8.307713194204986,100000,393216,cpu
7,1858.2589626312256,1858.2589626312256,4.029749892652035,0.0,1848.6570119857788,0.09500980377197266,45600000,11.31583875295794,100000,393216,cpu
8,1869.452953338623,1869.452953338623,4.037791630253196,0.0,1859.4239950180054,0.2599954605102539,45600000,11.293301927306382,100000,393216,cpu
9,2160.027027130127,2160.027027130127,8.584874914959073,0.0,2143.700957298279,0.10406970977783203,45600000,5.311667374505641,100000,393216,cpu
10,2557.5919151306152,2557.5919151306152,6.966250017285347,0.0,2543.4889793395996,0.21505355834960938,45600000,6.545846027181451,100000,393216,cpu